"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","hard_hit_percent","k_percent","bb_percent","whiff_percent","sprint_speed","oaa"
"Ramón Laureano","657656","2023",23,19,22,31,31,37,62,28,20,18,46,27,64,46
"Ronald Acuña Jr.","660670","2023",100,100,100,99,100,100,93,100,98,97,80,84,67,4
"Jonah Bride","681146","2023",,,,,,,,,,,,,44,
"Isaac Paredes","670623","2023",33,16,16,26,60,32,26,13,6,74,72,88,20,57
"Dominic Smith","642086","2023",44,56,33,29,57,50,31,7,9,88,42,79,14,68
"J.D. Martinez","502110","2023",91,77,96,97,48,89,98,98,98,9,35,7,19,
"Lourdes Gurriel Jr.","666971","2023",49,64,63,56,32,70,50,58,77,79,13,84,41,63
"Manny Machado","592518","2023",58,47,72,75,35,85,68,77,75,76,47,59,24,97
"Kole Calhoun","594777","2023",,,,,,,,,,,,,8,
"Adolis García","666969","2023",89,42,93,96,62,97,96,91,92,20,74,16,49,78
"Bo Naylor","666310","2023",,,,,,,,,,,,,51,
"Brett Wisely","689172","2023",,,,,,,,,,,,,65,
"Reese McGuire","624512","2023",,,,,,,,,,,,,17,
"Michael Harris II","671739","2023",81,98,84,64,72,77,63,75,86,71,4,54,86,93
"Elias Díaz","553869","2023",15,33,21,20,14,32,29,25,33,46,24,30,8,
"Jordan Walker","691023","2023",60,75,51,40,66,37,39,52,59,46,42,23,81,1
"Miguel Andujar","609280","2023",,,,,,,,,,,,,58,
"JJ Bleday","668709","2023",,,,,,,,,,,,,45,20
"Jordan Diaz","672478","2023",,,,,,,,,,,,,10,4
"Andrés Giménez","665926","2023",17,36,21,17,29,40,22,1,4,74,9,48,93,100
"Eugenio Suárez","553993","2023",53,12,50,71,42,89,87,69,61,10,71,11,27,97
"Sean Murphy","669221","2023",96,81,95,94,96,82,96,84,73,46,82,45,18,
"Ezequiel Duran","677649","2023",37,52,54,55,25,40,52,65,65,22,9,29,91,22
"Zach Neto","687263","2023",,,,,,,,,,,,,59,73
"Freddy Fermin","666023","2023",,,,,,,,,,,,,41,
"Gavin Sheets","657757","2023",1,2,6,17,3,9,19,25,13,67,44,70,31,
"Emmanuel Rivera","656896","2023",,,,,,,,,,,,,40,74
"Kyle Farmer","571657","2023",32,42,35,35,31,19,32,8,14,38,21,62,31,80
"James McCann","543510","2023",,,,,,,,,,,,,20,
"Ryan Noda","676116","2023",61,5,29,58,80,58,85,79,71,2,98,2,49,20
"Johan Rojas","679032","2023",,,,,,,,,,,,,95,
"Isiah Kiner-Falefa","643396","2023",13,44,9,5,34,3,6,39,40,66,41,81,59,79
"J.T. Realmuto","592663","2023",61,52,75,76,35,76,74,59,64,28,24,43,84,
"Kolten Wong","543939","2023",,,,,,,,,,,,,34,36
"Brandon Crawford","543063","2023",,,,,,,,,,,,,15,91
"Jose Herrera","645444","2023",,,,,,,,,,,,,10,
"Cole Tucker","657061","2023",,,,,,,,,,,,,75,
"Cal Stevenson","670276","2023",,,,,,,,,,,,,24,
"Abraham Almonte","501659","2023",,,,,,,,,,,,,29,
"Jacob Amaya","676070","2023",,,,,,,,,,,,,25,
"Kevin Padlo","656821","2023",,,,,,,,,,,,,1,
"Manny Piña","444489","2023",,,,,,,,,,,,,2,
"Anthony Bemboom","621532","2023",,,,,,,,,,,,,14,
"Pete Crow-Armstrong","691718","2023",,,,,,,,,,,,,98,
"Forrest Wall","657088","2023",,,,,,,,,,,,,72,
"Alexander Canario","672744","2023",,,,,,,,,,,,,14,
"Ryan Kreidler","668952","2023",,,,,,,,,,,,,62,
"Weston Wilson","642215","2023",,,,,,,,,,,,,45,
"Luke Williams","663897","2023",,,,,,,,,,,,,76,
"Ben Gamel","592325","2023",,,,,,,,,,,,,54,
"Brian Serven","661531","2023",,,,,,,,,,,,,9,
"Chris Owings","572008","2023",,,,,,,,,,,,,36,
"Abraham Toro","647351","2023",,,,,,,,,,,,,38,
"Greg Allen","656185","2023",,,,,,,,,,,,,40,
"Juniel Querecuto","578570","2023",,,,,,,,,,,,,36,
"Cooper Hummel","669450","2023",,,,,,,,,,,,,48,
"Johan Camargo","622666","2023",,,,,,,,,,,,,3,
"Vinny Capra","681962","2023",,,,,,,,,,,,,58,
"Isan Díaz","656371","2023",,,,,,,,,,,,,1,
"Peyton Burdick","680814","2023",,,,,,,,,,,,,62,
"Josh Lester","623507","2023",,,,,,,,,,,,,16,
"Drew Ellis","656403","2023",,,,,,,,,,,,,46,
"Yonny Hernández","660634","2023",,,,,,,,,,,,,12,
"Tommy La Stella","600303","2023",,,,,,,,,,,,,3,
"Canaan Smith-Njigba","675986","2023",,,,,,,,,,,,,15,
"Dalton Guthrie","656495","2023",,,,,,,,,,,,,82,
"Kyle Garlick","664247","2023",,,,,,,,,,,,,22,
"Kyle Stowers","669065","2023",,,,,,,,,,,,,15,
"Buddy Kennedy","671083","2023",,,,,,,,,,,,,95,
"Nathan Lukes","664770","2023",,,,,,,,,,,,,42,
"Austin Meadows","640457","2023",,,,,,,,,,,,,18,
"José Tena","677588","2023",,,,,,,,,,,,,36,
"Bligh Madris","676632","2023",,,,,,,,,,,,,22,
"Luis Torrens","620443","2023",,,,,,,,,,,,,26,
"Jordan Lawlar","691783","2023",,,,,,,,,,,,,99,
"Heston Kjerstad","677008","2023",,,,,,,,,,,,,64,
"Logan Porter","682515","2023",,,,,,,,,,,,,39,
"Bobby Dalbec","666915","2023",,,,,,,,,,,,,69,
"Sandy León","506702","2023",,,,,,,,,,,,,1,
"Tyler Fitzgerald","666149","2023",,,,,,,,,,,,,99,
"Marco Luciano","682617","2023",,,,,,,,,,,,,43,
"Jasson Domínguez","691176","2023",,,,,,,,,,,,,76,
"David Hamilton","666152","2023",,,,,,,,,,,,,92,
"Taylor Trammell","666211","2023",,,,,,,,,,,,,44,
"Drew Millas","686452","2023",,,,,,,,,,,,,80,
"Eguy Rosario","666703","2023",,,,,,,,,,,,,74,
"Jordyn Adams","677941","2023",,,,,,,,,,,,,92,
"Kyren Paris","677347","2023",,,,,,,,,,,,,93,
"TJ Hopkins","686759","2023",,,,,,,,,,,,,89,
"Joey Ortiz","687401","2023",,,,,,,,,,,,,71,
"Sean Bouchard","656248","2023",,,,,,,,,,,,,48,
"Blake Rutherford","666164","2023",,,,,,,,,,,,,45,
"Cody Thomas","642137","2023",,,,,,,,,,,,,74,
"Travis Blankenhorn","663905","2023",,,,,,,,,,,,,11,
"Oneil Cruz","665833","2023",,,,,,,,,,,,,84,
"Sam Huff","669087","2023",,,,,,,,,,,,,24,
"Iván Herrera","671056","2023",,,,,,,,,,,,,35,
"Junior Caminero","691406","2023",,,,,,,,,,,,,83,
"J.P. Martínez","679881","2023",,,,,,,,,,,,,85,
"Coco Montes","663796","2023",,,,,,,,,,,,,56,
"Brett Phillips","621433","2023",,,,,,,,,,,,,68,
"Spencer Horwitz","687462","2023",,,,,,,,,,,,,8,
"Andre Lipcius","686531","2023",,,,,,,,,,,,,8,
"Óscar Mercado","640458","2023",,,,,,,,,,,,,72,
"Trey Cabbage","663550","2023",,,,,,,,,,,,,77,
"Adam Haseley","656514","2023",,,,,,,,,,,,,65,
"Grae Kessinger","666197","2023",,,,,,,,,,,,,32,
"Andrew Stevenson","664057","2023",,,,,,,,,,,,,93,
"Bryce Johnson","669369","2023",,,,,,,,,,,,,87,
"Jared Young","676724","2023",,,,,,,,,,,,,79,
"Kyle Lewis","641786","2023",,,,,,,,,,,,,15,
"Tyler Heineman","623168","2023",,,,,,,,,,,,,14,
"Wade Meckler","685133","2023",,,,,,,,,,,,,95,
"Nate Eaton","681987","2023",,,,,,,,,,,,,97,
"Jorge Alfaro","595751","2023",,,,,,,,,,,,,80,
"Darin Ruf","573131","2023",,,,,,,,,,,,,9,
"Jo Adell","666176","2023",,,,,,,,,,,,,90,
"Jonny Deluca","676356","2023",,,,,,,,,,,,,97,
"Tim Locastro","641796","2023",,,,,,,,,,,,,93,
"Heliot Ramos","671218","2023",,,,,,,,,,,,,39,
"Jake Lamb","571875","2023",,,,,,,,,,,,,6,
"Darick Hall","669742","2023",,,,,,,,,,,,,2,
"Derek Hill","656537","2023",,,,,,,,,,,,,97,
"Franmil Reyes","614177","2023",,,,,,,,,,,,,30,
"Jason Vosler","613564","2023",,,,,,,,,,,,,16,
"Tyler Wade","642180","2023",,,,,,,,,,,,,89,
"Carlos Pérez","656024","2023",,,,,,,,,,,,,20,
"Evan Carter","694497","2023",,,,,,,,,,,,,96,
"Terrin Vavra","679631","2023",,,,,,,,,,,,,59,
"Sam Hilliard","656541","2023",,,,,,,,,,,,,90,
"Bubba Thompson","669352","2023",,,,,,,,,,,,,100,
"Garrett Mitchell","669003","2023",,,,,,,,,,,,,94,
"Samad Taylor","669392","2023",,,,,,,,,,,,,91,
"Colton Cowser","681297","2023",,,,,,,,,,,,,64,
"Juan Yepez","660766","2023",,,,,,,,,,,,,13,
"Luke Voit","572228","2023",,,,,,,,,,,,,6,
"Tomás Nido","621512","2023",,,,,,,,,,,,,5,
"Estevan Florial","664314","2023",,,,,,,,,,,,,94,
"Clint Frazier","640449","2023",,,,,,,,,,,,,59,
"Jonathan Araúz","660620","2023",,,,,,,,,,,,,20,
"Franchy Cordero","614173","2023",,,,,,,,,,,,,53,
"José Fermín","665877","2023",,,,,,,,,,,,,66,
"Taylor Motter","600301","2023",,,,,,,,,,,,,29,
"Korey Lee","686676","2023",,,,,,,,,,,,,66,
"Michael Busch","683737","2023",,,,,,,,,,,,,39,
"Brad Miller","543543","2023",,,,,,,,,,,,,16,
"Ernie Clement","676391","2023",,,,,,,,,,,,,76,
"Matt Beaty","607461","2023",,,,,,,,,,,,,11,
"Mark Mathias","664029","2023",,,,,,,,,,,,,60,
"Conner Capel","668843","2023",,,,,,,,,,,,,40,
"Hunter Goodman","696100","2023",,,,,,,,,,,,,55,
"Ben Rortvedt","666163","2023",,,,,,,,,,,,,17,
"David Hensley","682073","2023",,,,,,,,,,,,,46,
"Dane Myers","667472","2023",,,,,,,,,,,,,89,
"Jordan Luplow","656669","2023",,,,,,,,,,,,,57,
"Brandon Dixon","641525","2023",,,,,,,,,,,,,78,
"Danny Mendick","664901","2023",,,,,,,,,,,,,11,
"Nick Loftin","679845","2023",,,,,,,,,,,,,47,
"Henry Ramos","592656","2023",,,,,,,,,,,,,39,
"Mike Brosseau","670712","2023",,,,,,,,,,,,,57,
"Wilyer Abreu","677800","2023",,,,,,,,,,,,,35,
"Everson Pereira","677592","2023",,,,,,,,,,,,,65,
"Michael Brantley","488726","2023",,,,,,,,,,,,,8,
